timestamp,bus_id,route,latitude,longitude,status,speed
2025-08-24T22:33:26.016560,1,Route 1 (Dadar to Colaba),18.957262666666665,72.833508,Running,24.271604713368184
2025-08-24T22:33:26.016560,2,Route 1 (Dadar to Colaba),18.957262666666665,72.833508,Running,38.04271536670608
2025-08-24T22:33:26.016560,3,Route 1 (Dadar to Colaba),18.922551333333335,72.83475666666666,Running,34.57677060188251
2025-08-24T22:33:26.016560,4,Route 2 (Andheri to Ghatkopar),19.1018,72.8687,Ghost,22.153966734543822
2025-08-24T22:33:26.016560,5,Route 2 (Andheri to Ghatkopar),19.119580666666668,72.84654866666666,Running,31.60991240908514
2025-08-24T22:33:26.016560,6,Route 2 (Andheri to Ghatkopar),19.085330666666668,72.90907933333332,Running,30.402276271344782
2025-08-24T22:33:26.016560,7,Route 3 (Borivali to Thane),19.229072,72.85705866666666,Running,33.38908142813389
2025-08-24T22:33:26.016560,8,Route 3 (Borivali to Thane),19.218371333333334,72.97729199999999,Running,38.16777946037556
2025-08-24T22:33:26.016560,9,Route 3 (Borivali to Thane),19.25177533333333,72.943234,Running,40.84151894669664
2025-08-24T22:33:26.016560,10,Route 4 (Vashi to Panvel),19.02842,73.06465266666666,Running,32.58403606841951
2025-08-24T22:33:26.016560,11,Route 4 (Vashi to Panvel),19.02842,73.06465266666666,Running,31.80992277734951
2025-08-24T22:33:26.016560,12,Route 4 (Vashi to Panvel),19.055817333333334,73.03003133333333,Running,32.311837146047345
2025-08-24T22:33:26.016560,13,Route 5 (Kurla to Bandra),19.06,72.85,Ghost,25.513017369662233
2025-08-24T22:33:26.016560,14,Route 5 (Kurla to Bandra),19.066781333333335,72.87213866666667,Running,27.06117597607104
2025-08-24T22:33:26.016560,15,Route 5 (Kurla to Bandra),19.059962666666664,72.84993666666666,Running,37.81897283481522
2025-08-24T22:33:26.016560,16,Route 6 (CSMT to Juhu),19.021579333333335,72.816968,Running,35.47725595971384
2025-08-24T22:33:26.016560,17,Route 6 (CSMT to Juhu),19.106782666666668,72.82715466666667,Running,33.472995119812666
2025-08-24T22:33:26.016560,18,Route 6 (CSMT to Juhu),19.021579333333335,72.816968,Running,32.64211865042206
2025-08-24T22:33:26.016560,19,Route 7 (Thane to Borivali via Ghodbunder),19.2511,72.9645,Ghost,22.815206336302193
2025-08-24T22:33:26.016560,20,Route 7 (Thane to Borivali via Ghodbunder),19.229,72.8569,Ghost,35.53602774192182
2025-08-24T22:33:26.016560,21,Route 7 (Thane to Borivali via Ghodbunder),19.228928666666665,72.857708,Running,29.944517010420984
2025-08-24T22:33:26.016560,22,Route 8 (Belapur to Kharghar),19.041,73.067,Ghost,22.764760372129274
